,pid,filename,poet,title,year,poem,poemlength,epoch_year,epoch_poet
167,16691,"Engelke, Gerrit_UNTITLED_1916","Engelke, Gerrit",UNTITLED,1916,"Auch diesem Stieglitz da im Blätterfall, Tickt wunderbar in seinem Federball Ein schüchtern schluchzend Herz, ein kleines, Ein Herz wie meins und deines.Der Vogel singt, weil ihn sein Herz bezwingt Und große Sonnenluft ihn frisch umschwingt – Er muß von seinem Herzen zehren.Und jedes Flüsterbäumchen, uns vertraut, Trägt unter seiner weichen Rindenhaut Ein horchend Neugierherz, ein wachsend kleines, Ein Herz wie meins und deines.Der Baum verzweigt, und weiter zweigt er still, Weil frei sein Herz ins Blaue schauen will – Er muß von seinem Herzen zehren.Wer spürt, wie bald das nächtge Schweigen naht – Du hast mich lieb und gehst denselben Pfad; Wir leben zueinander warm und still, Wie unser ruhlos, wunschgroß Herz es will.Einmal ist Schauerstille um uns her, Das Herz klopft aus, ist tot und leer – Wir müssen all von unserm Herzen zehren.",153,Expressionismus,Expressionismus
265,12823,"Lichtenstein, Alfred_1_1914","Lichtenstein, Alfred",1,1914,"O du Berlin, du bunter Stein, du Biest. Du wirfst mich mit Laternen wie mit Kletten. Ach, wenn man nachts durch deine Lichter fließt Den Weibern nach, den seidenen, den fetten.So taumelnd wird man von den Augenspielen. Den Himmel süßt der kleine Mondbonbon. Wenn schon die Tage auf die Türme fielen Glüht noch der Kopf, ein roter Lampion.",69,Expressionismus,Expressionismus
454,39059,"Sack, Gustav_Der Flötenbläser_1900","Sack, Gustav",Der Flötenbläser,1900,"Drum sollt ihr tanzen, bis ihr Hilfe! schreit, ihr sollt in unersättlicher Begier euch überfressen noch an mir und meiner Flöte wilden Traurigkeit,die euch in aller Dinge Rätselstreit taumelnd mitreißt und eure Eselsohren schier verrückt und völlig trunken macht, bis ihr mich und mein Flötenlied ausspeitund dasteht wie der Pöbel, dem der Rausch und Wein der Nacht verflog – ich nehm den Ruhm der Ewigkeit in Tausch,wenn ich nur einmal eure Stumpfheit hoch gejagt und ihr euch zitternd eingesteht: er hat uns wie ein Sturmwind fortgeweht!",97,Jahrhundertwende,Expressionismus
72,26205,Klabund_Die Ballade vom Schlaf der Kindheit_1909,Klabund,Die Ballade vom Schlaf der Kindheit,1909,"Scheuche nicht den Schlaf des Kindes In der schwarzen Bucht. In den Zweigen des erwachten Windes Hängt er hell wie eine runde Frucht.Sonne wärmt sich an des Nackens Spiegel, Echo strahlt in der erfüllten Flut, Venus wünscht sich leichte Flügel, Wo er in des Spieles Barke ruht.Jage nicht den Knaben in die Schule Früh um sieben, wenn der Ofen kalt. Hässlich hockt er an der Arbeit Spule Und zerschmettert von des Lehrers Gramgewalt.Sieh: an seinen langen schwarzen Wimpern Hängt ein schmaler Schatten noch das Bild. Und in seine wachen Qualen klimpern Mondgesang und Schwert und Harfenschild.",105,Jahrhundertwende,Expressionismus
305,16651,"Engelke, Gerrit_UNTITLED_1913","Engelke, Gerrit",UNTITLED,1913,"Wie der Wagen durch die Kurve biegt, Wie die blanke Schienenstrecke vor ihm liegt: Walzt er stärker, schneller.Die Motore unterm Boden rattern, Von den Leitungsdrähten knattern Funken.Scharf vorüber an Laternen, Frauenmoden, Bild an Bild, Ladenschild, Pferdetritt, Menschenschritt – Schütternd walzt und wiegt der Wagenboden, Meine Sinne walzen, wiegen mit!: Voller Strom! Voller Strom!Der ganze Wagen, mit den Menschen drinnen, Saust und summt und singt mit meinen Sinnen. Das Wagensingen sausebraust, es schwillt! Plötzlich schrillt Die Klingel! – Der Stromgesang ist aus – Ich steige aus – Weiter walzt der Wagen.",113,Expressionismus,Expressionismus
821,26301,Klabund_4._1909,Klabund,4.,1909,"Die Hände vor dem Antlitz Träumt Der Gott. Seine Wälder sind tot, Seine Berge in die Ebene gestürzt,Und ohne Lieder Fliegen die Vögel. Seine Priester schänden Des Sterbenden Sanftmut. Mit eisernen Sohlen geht der Mensch Durch die Saaten.ER beugt seine einsame Stirn Zum Waldteich hinab. Die Wellen rauschen über die Runzeln Und füllen sein leeres Aug Mit Tränen.",66,Jahrhundertwende,Expressionismus
663,50273,"Ball, Hugo_Die Schlange Waga_1906","Ball, Hugo",Die Schlange Waga,1906,"Wer kennt mich noch? Ich trug die Persermütze. Es spiegelte darin der Schlange Bild. Ihr grauer Blick, der mich gefangen hielt, Verwehrte mir des Paradieses Spitze.Die Lanze schwang ich bis zu ihrem Sitze. Die Schlange schnellte auf, sie ringelte sich wild. Es zischte ihres Kopfes schmaler Schild. Und ich verschwand in ihr gleich einem Blitze.Da war ich Vater, Mutter, Sohn zugleich, Und fand mich lächelnd nun in ihrem Leibe. Vor mir erhellte sich ein Lotosteich.Ich ward hinabgetaucht von einem Weibe. Und neugeboren trieb ich mit der Flut Als jüngstes Kind aus ihres Schoßes Hut.",109,Jahrhundertwende,Expressionismus
420,41351,"Trakl, Georg_Menschliches Elend_1900","Trakl, Georg",Menschliches Elend,1900,"Die Uhr, die vor der Sonne fünfe schlägt – Einsame Menschen packt ein dunkles Grausen, Im Abendgarten kahle Bäume sausen. Des Toten Antlitz sich am Fenster regt.Vielleicht, daß diese Stunde stille steht. Vor trüben Augen blaue Bilder gaukeln Im Takt der Schiffe, die am Flusse schaukeln. Am Kai ein Schwesternzug vorüberweht.Im Hasel spielen Mädchen blaß und blind, Wie Liebende, die sich im Schlaf umschlingen. Vielleicht, daß um ein Aas dort Fliegen singen, Vielleicht auch weint im Mutterschoß ein Kind.Aus Händen sinken Astern blau und rot, Des Jünglings Mund entgleitet fremd und weise; Und Lider flattern angstverwirrt und leise; Durch Fieberschwärze weht ein Duft von Brot.Es scheint, man hört auch gräßliches Geschrei; Gebeine durch verfallne Mauern schimmern. Ein böses Herz lacht laut in schönen Zimmern; An einem Träumer läuft ein Hund vorbei.Ein leerer Sarg im Dunkel sich verliert. Dem Mörder will ein Raum sich bleich erhellen, Indes Laternen nachts im Sturm zerschellen. Des Edlen weiße Schläfe Lorbeer ziert.",180,Jahrhundertwende,Expressionismus
299,44987,"Heym, Georg_UNTITLED_1899","Heym, Georg",UNTITLED,1899,"Bei dreier Kerzen mildem Lichte Die Leiche schläft. Und hohe Mönche gehen Um sie herum, und legen ihre Finger Manchmal über ihr Angesicht.Froh sind die Toten, die zur Ruhe kehren Und strecken ihre weißen Hände aus, Den Engeln zu, die groß und schattig gehen Mit Flügelschlagen durch das hohe Haus.Nur manchmal schallt ein Weinen durch die Wände, Ein tiefes Schluchzen wälzt sich in der Lust. Man kreuzet ihre hageren Finger-Hände Zum Frieden sanft auf die verhaarte Brust.",85,Jahrhundertwende,Expressionismus
55,26363,Klabund_2._1909,Klabund,2.,1909,"Sie sagen in der ersten Mädchenklasse manchmal unanständige Sachen. Ob Maria sich damit befasse? Der Primaner Hubert hat doch Rasse. Und sie lachen.Und wir heben unsre Kleider, zeigen unsre hübschen Beine. Manche möchte mit nervösen Fingern sich zum Scherz ihr Mieder lösen... Und ich weine...",52,Jahrhundertwende,Expressionismus
812,26207,Klabund_Ballade vom toten Kind_1909,Klabund,Ballade vom toten Kind,1909,"Wie ward mein Überfluss so karg! Ich muss mich mein erbarmen. Ich halte auf den Armen Einen kleinen Sarg.Es reichen sich die Hände Geschlechter ohne Ende – Wer endet? wer begann? Ich bin nun Sinn und Sitte, Und meine Hand ist Mittelshand, Ich bin der Erde Mitte Und bin der Mittelsmann.Ich stehe an der Leiter, Die in die Grube führt. Und reich der Erde weiter Das Herz, das ihr gebührt.Schon stürmt es in den Lüften, Der Frühling stürzt herein. Es knien alle Berge, Es brechen alle Särge, Und aus den VeilchengrüftenWie Jesus Christus weiland Steigt schon der neue Heiland Und will dein Kindlein sein.",118,Jahrhundertwende,Expressionismus
304,10211,"Weissmann, Maria Luise_UNTITLED_1914","Weissmann, Maria Luise",UNTITLED,1914,"Ich atme Dich mit Sehnsucht, süßer Duft. Wo Du verschwebst, ging aller Frühling enden, Wo Du verhauchst, da weht von Schatten-Wänden Herbstlichen Atems die bereifte Luft.Ich schmecke Dich mit Andacht, edles Brot. Wo Du gebrichst, gebricht es aller Fülle, Wo Du ausgehst, da steigt aus ihrer Hülle Von Überfluß die ungemeßne Not.Ich fühle Dich mit Angst, geliebter Leib. Die Dich verlor, die Hand, wird irrer Schwere Tasten ringsum und tasten in die Leere Nach allen Dings unfaßbarem Verbleib.Ich höre Dich, o naher Stimme Sang. Wo Du verstummst, wird jeder Laut in Schweigen Hinsterben und vergeblich tief im Neigen Das Ohr sich mühn nach einem kleinen Klang.Ich sehe Dich mit Inbrunst, großes Licht, Geleucht der Weite, Glanz aus tausend Fernen. Wo Du verbleichst, kehrt unter blinden Sternen In Dunkel das verlöschende Gesicht.",154,Expressionismus,Expressionismus
511,39035,"Sack, Gustav_Einsam_1900","Sack, Gustav",Einsam,1900,"Ich habe niemals Du zu euch gesagt – wohin ich kam und wen ich immer sprach und wenn er auch in meinen Armen lag, ich habe niemals Du zu ihm gesagt.Und doch hab ich mich nie darob beklagt und wenn die Sehnsucht auch mit wildem Schlag mein selbstgewähltes Klausnertum durchbrach, hab ich doch niemals Du zu euch gesagtund hatte immerdar an mir genug, berg ich doch ewig in mir Gott und Tier und Licht und Kot und heiligste Begier,und hielt mein stilles Zwiegespräch mit mir, bis über mir gleich einem Totentuch der Schrei der Einsamkeit zusammenschlug.",103,Jahrhundertwende,Expressionismus
808,26103,Klabund_O gieb_1909,Klabund,O gieb,1909,"O gieb mir deine Hände, Der Frühling brennt im Hag, Verschwende dich, verschwende Diesen Tag.Ich liege dir im Schoße Und suche deinen Blick. Er wirft gedämpft den Himmel, Der Himmel dich zurück.O glutend über Borden Verrinnt ihr ohne Ruh: Du bist Himmel geworden, Der Himmel wurde du.",55,Jahrhundertwende,Expressionismus
293,44014,"Stramm, August_Wunde_1894","Stramm, August",Wunde,1894,Die Erde blutet unterm Helmkopf Sterne fallen Der Weltraum tastet. Schauder brausen Wirbeln Einsamkeiten. Nebel Weinen Ferne Deinen Blick.,22,Jahrhundertwende,Expressionismus
130,26372,Klabund_An die Natur_1909,Klabund,An die Natur,1909,"Natur! Natur! Du Götterwelt! Wie bist du prächtig aufgestellt Mit Bergen groß und Tälern klein, Es hat wohl müssen also sein.Und mittendrin in der Natur Dehnt sich die grüne Wiesenflur, Im Winter ist sie weiß beschneit, So hat ein Jedes seine Zeit.Auch du, auch du, o Menschenkind, Bedenke, wie die Zeit verrinnt. Heut rauscht sie mächtig noch daher Und morgen sieht man sie nicht mehr.Frisch auf, frisch auf, mit Hörnerklang Durch das verschneite Tal entlang, Die Glöckchen klingeln am Geläut: Gestern war gestern, morgen wird morgen sein, heute ist heut.",108,Jahrhundertwende,Expressionismus
687,26150,Klabund_9_1909,Klabund,9,1909,"Sommerabende, ihr lauen, Bettet mich auf eure Kissen, Laßt in Fernen, dunkelblauen, Meiner Träume Wimpel hissen.Stunden, die am Tag sich placken, Feiern nächtlich froh verwegen, Und ich fühl um meinen Nacken Zärtlich sich zwei Arme legen.Ist die Seele liebeswund? Heißren Atem haucht der Flieder, Und der rote Himmelsmund Neigt sich üppig zu mir nieder.",65,Jahrhundertwende,Expressionismus
573,41334,"Trakl, Georg_De profundis_1900","Trakl, Georg",De profundis,1900,"Es ist ein Stoppelfeld, in das ein schwarzer Regen fällt. Es ist ein brauner Baum, der einsam dasteht. Es ist ein Zischelwind, der leere Hütten umkreist. Wie traurig dieser Abend.Am Weiler vorbei Sammelt die sanfte Waise noch spärliche Ähren ein. Ihre Augen weiden rund und goldig in der Dämmerung Und ihr Schoß harrt des himmlischen Bräutigams.Bei der Heimkehr Fanden die Hirten den süßen Leib Verwest im Dornenbusch.Ein Schatten bin ich ferne finsteren Dörfern. Gottes Schweigen Trank ich aus dem Brunnen des Hains.Auf meine Stirne tritt kaltes Metall Spinnen suchen mein Herz. Es ist ein Licht, das in meinem Mund erlöscht.Nachts fand ich mich auf einer Heide, Starrend von Unrat und Staub der Sterne. Im Haselgebüsch Klangen wieder kristallne Engel.",132,Jahrhundertwende,Expressionismus
216,44640,"Däubler, Theodor_An Foscolo_1905","Däubler, Theodor",An Foscolo,1905,"Des Morgenlandes maibetaute Blume, Das Eiland Zákynthos auf stolzem Meer, Gebar den Leib für deinen Lichtbegehr: Der Wunsch blieb still auf duftbewehter Krume.Verliebter Lieder Lilie wuchs zum Ruhme Der Griechen, sproß als ihrer Helden Wehr, Denn Reinheit ist das Erz für hellen Speer Und hilft dem Volk bei altem Eigentume.Ersungne Bäume setztest du den Toten, Zu Marmorurnen, wo ein Name glomm, Gewitter keine Inschriften bedrohten.Wie ging dein Schritt zu Gräbern schlicht und fromm, Bis, dort zu knien, Verbote dir entlohten, Denn bloß zum freien Menschen riefst du: Komm!",102,Jahrhundertwende,Expressionismus
9,52648,"Heym, Georg_Der Krieg_1911","Heym, Georg",Der Krieg,1911,"In der Nacht er jagt das Feuer querfeldein einen roten Hund mit wilder Mäuler Schrein. Aus dem Dunkel springt der Nächte schwarze Welt, Von Vulkanen furchtbar ist ihr Rand erhellt.In der Nacht er jagt das Feuer querfeldein einen roten Hund mit wilder Mäuler Schrein. Aus dem Dunkel springt der Nächte schwarze Welt, Von Vulkanen furchtbar ist ihr Rand erhellt.",64,Expressionismus,Expressionismus
